Date,P/E,SMA_5_Years,sma_7_5_years,sma_10_years,1.5sd_5SMA_POS,2sd_5SMA_POS,3sd_5SMA_POS,1.5sd_5SMA_NEG,2sd_5SMA_NEG,3sd_5SMA_NEG,1.5sd_7_5_SMA_POS,2sd_7_5SMA_POS,3sd_7_5SMA_POS,1.5sd_7_5SMA_NEG,2sd_7_5SMA_NEG,3sd_7_5SMA_NEG,1.5sd_10_SMA_POS,2sd_10SMA_POS,3sd_10SMA_POS,1.5sd_10SMA_NEG,2sd_10SMA_NEG,3sd_10SMA_NEG,signals
2001-04-24,16.48,,,,,,,,,,,,,,,,,,,,,,
2001-04-25,16.61,,,,,,,,,,,,,,,,,,,,,,
2001-04-26,16.38,,,,,,,,,,,,,,,,,,,,,,
2001-04-27,14.44,,,,,,,,,,,,,,,,,,,,,,
2001-04-30,14.57,,,,,,,,,,,,,,,,,,,,,,
2001-05-02,14.63,,,,,,,,,,,,,,,,,,,,,,
2001-05-03,15.01,,,,,,,,,,,,,,,,,,,,,,
2001-05-04,15.4,,,,,,,,,,,,,,,,,,,,,,
2001-05-07,15.46,,,,,,,,,,,,,,,,,,,,,,
2001-05-08,15.6,,,,,,,,,,,,,,,,,,,,,,
2001-05-09,15.6,,,,,,,,,,,,,,,,,,,,,,
2001-05-10,15.55,,,,,,,,,,,,,,,,,,,,,,
2001-05-11,15.49,,,,,,,,,,,,,,,,,,,,,,
2001-05-14,15.49,,,,,,,,,,,,,,,,,,,,,,
2001-05-15,15.55,,,,,,,,,,,,,,,,,,,,,,
2001-05-16,15.63,,,,,,,,,,,,,,,,,,,,,,
2001-05-17,15.95,,,,,,,,,,,,,,,,,,,,,,
2001-05-18,15.92,,,,,,,,,,,,,,,,,,,,,,
2001-05-21,15.98,,,,,,,,,,,,,,,,,,,,,,
2001-05-22,15.96,,,,,,,,,,,,,,,,,,,,,,
2001-05-23,16.11,,,,,,,,,,,,,,,,,,,,,,
2001-05-24,16.13,,,,,,,,,,,,,,,,,,,,,,
2001-05-25,16.15,,,,,,,,,,,,,,,,,,,,,,
2001-05-28,16.4,,,,,,,,,,,,,,,,,,,,,,
2001-05-29,16.47,,,,,,,,,,,,,,,,,,,,,,
2001-05-30,15.98,,,,,,,,,,,,,,,,,,,,,,
2001-05-31,15.8,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,15.47,,,,,,,,,,,,,,,,,,,,,,
2001-06-04,15.25,,,,,,,,,,,,,,,,,,,,,,
2001-06-05,15.08,,,,,,,,,,,,,,,,,,,,,,
2001-06-06,15.12,,,,,,,,,,,,,,,,,,,,,,
2001-06-07,15.07,,,,,,,,,,,,,,,,,,,,,,
2001-06-08,15.26,,,,,,,,,,,,,,,,,,,,,,
2001-06-11,15.32,,,,,,,,,,,,,,,,,,,,,,
2001-06-12,15.27,,,,,,,,,,,,,,,,,,,,,,
2001-06-13,15.3,,,,,,,,,,,,,,,,,,,,,,
2001-06-14,15.54,,,,,,,,,,,,,,,,,,,,,,
2001-06-15,15.19,,,,,,,,,,,,,,,,,,,,,,
2001-06-18,15.07,,,,,,,,,,,,,,,,,,,,,,
2001-06-19,15.35,,,,,,,,,,,,,,,,,,,,,,
2001-06-20,15.62,,,,,,,,,,,,,,,,,,,,,,
2001-06-21,15.59,,,,,,,,,,,,,,,,,,,,,,
2001-06-22,15.48,,,,,,,,,,,,,,,,,,,,,,
2001-06-25,15.19,,,,,,,,,,,,,,,,,,,,,,
2001-06-26,15.61,,,,,,,,,,,,,,,,,,,,,,
