Date,Close,3EMA_Close,6EMA_Close,9EMA_Close,EMA_Actual Momentum
2023-05-05,176.22,178.97,178.36,180.01,-1.00
2023-05-08,177.46,178.92,178.34,179.98,-1.00
2023-05-09,175.20,178.81,178.29,179.94,-1.00
2023-05-10,174.29,178.68,178.23,179.88,-1.00
2023-05-11,174.17,178.54,178.17,179.82,-1.00
2023-05-12,172.73,178.37,178.09,179.75,-1.00
2023-05-15,175.03,178.27,178.05,179.70,-1.00
2023-05-16,175.66,178.19,178.01,179.66,-1.00
2023-05-17,174.46,178.08,177.96,179.61,-1.00
2023-05-18,175.40,178.00,177.92,179.57,-1.00
2023-05-19,174.13,177.89,177.86,179.51,-1.00
2023-05-22,175.45,177.81,177.82,179.47,-1.00
2023-05-23,173.54,177.69,177.76,179.41,-1.00
2023-05-24,171.31,177.49,177.66,179.33,-1.00
2023-05-25,169.64,177.26,177.54,179.23,-1.00
2023-05-26,171.27,177.08,177.45,179.15,-1.00
2023-05-29,170.64,176.89,177.35,179.07,-1.00
2023-05-30,170.52,176.70,177.24,178.98,-1.00
2023-05-31,167.95,176.44,177.10,178.87,-1.00
2023-06-01,167.87,176.18,176.96,178.76,-1.00
2023-06-02,173.28,176.10,176.91,178.71,-1.00
2023-06-05,173.46,176.02,176.86,178.65,-1.00
2023-06-06,173.43,175.94,176.81,178.60,-1.00
2023-06-07,174.96,175.91,176.78,178.56,-1.00
2023-06-08,174.73,175.88,176.75,178.53,-1.00
2023-06-09,175.85,175.87,176.73,178.50,-1.00
2023-06-12,176.35,175.89,176.73,178.48,-1.00
2023-06-13,178.53,175.97,176.75,178.48,0.00
2023-06-14,178.24,176.04,176.78,178.48,0.00
2023-06-15,181.36,176.19,176.85,178.50,1.00
2023-06-16,182.50,176.38,176.93,178.54,1.00
2023-06-19,181.05,176.52,176.99,178.57,1.00
2023-06-20,178.12,176.57,177.01,178.57,1.00
2023-06-21,175.43,176.54,176.99,178.53,0.00
2023-06-22,175.33,176.50,176.96,178.50,0.00
2023-06-23,173.42,176.41,176.91,178.45,-1.00
2023-06-26,172.03,176.28,176.83,178.39,-1.00
2023-06-27,173.88,176.21,176.79,178.34,-1.00
2023-06-28,173.79,176.13,176.75,178.30,-1.00
2023-06-29,172.16,176.01,176.68,178.23,-1.00
2023-06-30,171.97,175.89,176.61,178.17,-1.00
2023-07-03,175.09,175.87,176.58,178.14,-1.00
2023-07-04,176.02,175.87,176.57,178.12,-1.00
2023-07-05,173.91,175.82,176.53,178.08,-1.00
2023-07-06,169.56,175.63,176.43,177.99,-1.00
2023-07-07,168.55,175.42,176.31,177.90,-1.00
2023-07-10,169.24,175.23,176.20,177.81,-1.00
2023-07-11,171.69,175.13,176.14,177.75,-1.00
2023-07-12,173.46,175.08,176.10,177.70,-1.00
2023-07-13,177.38,175.15,176.12,177.70,0.00
2023-07-14,178.58,175.25,176.15,177.71,0.00
2023-07-17,178.16,175.34,176.18,177.71,0.00
2023-07-18,175.38,175.34,176.17,177.69,0.00
2023-07-19,174.42,175.31,176.14,177.66,0.00
2023-07-20,174.04,175.27,176.11,177.62,0.00
2023-07-21,173.73,175.23,176.08,177.58,0.00
